Methode,Porosität_%,Druchlässigkeit_mD,Tiefe_m,Dichte_API,Viskosität_cP,Temp_C,Sättigung_%
Kohlendioxid,15.0,150.0,2865.1200000000003,34.0,1.2809487179487176,82.22222222222221,46.07692307692308
Kohlendioxid,16.0,50.0,2804.1600000000003,35.0,1.14,104.44444444444444,46.07692307692308
Kohlendioxid,19.5,32.0,1493.52,36.0,1.5,40.55555555555556,46.07692307692308
Kohlendioxid,37.0,4500.0,2499.36,37.0,2.0,82.22222222222221,50.0
Kohlendioxid,12.8,55.0,1737.36,44.0,0.39,67.77777777777777,60.0
Kohlendioxid,14.0,5.0,1706.88,41.0,0.5,51.66666666666666,50.0
Kohlendioxid,26.4,49.0,1463.04,39.0,1.5,79.44444444444444,65.0
Kohlendioxid,11.7,11.0,1371.6,38.0,1.0,38.333333333333336,70.0
Kohlendioxid,27.0,300.0,2407.92,37.0,0.6,88.88888888888889,55.0
Kohlendioxid,8.2,13.0,2407.92,40.0,0.4,81.11111111111111,46.07692307692308
Kohlendioxid,22.0,5.0,1615.44,44.0,0.36,41.11111111111111,34.0
Kohlendioxid,12.0,8.0,1584.96,33.0,1.3,40.55555555555556,40.0
Kohlendioxid,23.0,33.0,3243.072,38.0,0.4,120.0,21.0
Kohlendioxid,11.6,1.5,1173.48,31.0,2.3,30.0,46.07692307692308
Kohlendioxid,32.9,1480.0,2255.52,36.0,0.667,76.66666666666667,20.0
Kohlendioxid,26.0,770.0,3169.92,37.0,0.5,96.11111111111111,62.0
Kohlendioxid,27.0,795.0,2621.28,39.0,0.4,88.88888888888889,3.0
Kohlendioxid,4.15,100.0,2987.04,43.5,0.54,66.11111111111111,35.0
Kohlendioxid,13.5,17.0,2438.4,40.0,0.44,50.0,35.0
Polymer,19.8,4.1,883.9200000000001,36.0,2.5,32.22222222222222,40.0
Polymer,7.4,6.3,914.4,26.0,9.1,32.22222222222222,50.0
Polymer,11.0,1.3,1127.76,35.0,2.6,32.22222222222222,63.0
Polymer,23.0,115.0,304.8,31.0,13.0,30.555555555555557,37.0
Polymer,15.0,14.0,365.76,42.0,1.7,30.555555555555557,49.279562043795615
Polymer,25.0,2000.0,1112.52,39.0,1.0,60.0,49.279562043795615
Polymer,17.0,103.0,1676.4,32.0,2.8,61.66666666666666,39.0
Polymer,17.0,170.0,2651.76,22.0,24.0,76.66666666666667,49.279562043795615
Polymer,17.0,170.0,2651.76,21.0,12.0,91.66666666666669,49.279562043795615
Polymer,15.0,14.0,2164.08,39.0,1.5,65.0,49.279562043795615
Polymer,17.0,92.0,2275.3320000000003,25.0,9.0,80.55555555555556,49.279562043795615
Polymer,14.1,28.5,1005.84,43.0,0.95,35.0,42.0
Polymer,18.0,100.5,975.36,41.8,1.45,35.0,43.8
Polymer,16.7,30.5,929.64,42.0,1.4,32.22222222222222,40.3
Polymer,17.5,13.0,1097.28,41.5,1.2,37.77777777777778,38.1
Polymer,15.5,25.5,1082.04,44.0,1.2,37.77777777777778,43.6
Polymer,22.0,52.5,548.64,44.0,2.33,29.444444444444443,27.5
Polymer,17.5,100.5,350.52000000000004,44.0,1.3,26.666666666666664,41.3
Polymer,13.0,50.0,2255.52,36.0,1.4,71.11111111111111,45.0
Polymer,30.0,40.0,2164.08,41.0,2.3,48.888888888888886,36.0
Polymer,34.0,4600.0,2164.08,30.0,2.4,73.88888888888889,65.0
Polymer,18.0,300.0,883.9200000000001,32.0,2.5,73.88888888888889,54.0
Polymer,18.0,300.0,883.9200000000001,36.0,5.0,41.66666666666666,51.0
Polymer,10.0,6.0,1066.8,36.0,5.0,41.66666666666666,39.0
Polymer,18.0,10.0,792.48,33.0,1.5,35.0,76.0
Polymer,15.0,37.0,853.44,33.0,1.4,28.33333333333333,74.0
Polymer,14.0,28.0,1021.08,32.0,3.5,35.0,76.0
Polymer,15.0,28.0,1706.88,32.0,3.5,37.77777777777778,87.0
Polymer,12.0,93.5,1127.76,40.0,1.0,40.55555555555556,73.0
Polymer,27.3,135.0,2072.6400000000003,29.0,1.0,93.33333333333331,37.5
Polymer,12.8,575.5,1517.904,39.0,1.1,42.22222222222222,6.2
Polymer,13.6,130.0,1005.84,26.3,15.0,35.0,49.279562043795615
Polymer,15.1,90.0,2164.08,29.0,6.0,60.0,49.279562043795615
Polymer,19.5,52.0,969.264,34.0,5.6,47.77777777777778,49.279562043795615
Polymer,10.9,13.7,1371.6,37.0,1.3,38.333333333333336,49.279562043795615
Polymer,19.0,200.0,1371.6,39.0,2.8,48.888888888888886,51.0
Polymer,24.0,112.0,1508.76,20.0,20.0,65.55555555555556,84.0
Polymer,21.0,175.0,731.52,35.0,8.7,35.55555555555556,43.0
Polymer,15.6,250.0,2438.4,20.0,20.0,51.11111111111111,94.0
Polymer,15.7,321.0,944.88,36.0,10.0,30.555555555555557,49.279562043795615
Polymer,19.5,196.0,914.4,32.0,10.0,28.33333333333333,49.279562043795615
Polymer,15.0,125.5,2295.144,39.0,1.5,61.11111111111111,49.279562043795615
Polymer,19.0,265.0,548.64,36.0,6.0,23.88888888888889,49.279562043795615
Polymer,28.0,206.0,1798.3200000000002,29.0,1.3,73.88888888888889,49.279562043795615
Polymer,18.4,150.0,979.932,38.0,1.4,36.11111111111111,49.279562043795615
Polymer,18.0,203.5,594.36,28.0,17.0,25.555555555555557,49.279562043795615
